
Premium, 33, $82.5
Premium, 33, $82.5
Regular, 7000, $8189.999999999999
Midgrade, 80000, $96000.0
Premium, 7000, $17500.0
Midgrade, 7000, $8400.0
Midgrade, 8000, $9600.0
Midgrade, 8000, $9600.0
Midgrade, 8000, $9600.0
Premium, 7000, $17500.0
Midgrade, 8000, $9600.0
Regular, 23, $26.909999999999997
Regular, 34, $39.78
Regular, 54, $63.17999999999999
Regular, 60079, $70292.43
Regular, 1243354354, $1454724594.1799998
Regular, 8000, $9360.0
Midgrade, 7000, $8400.0
Midgrade, 8000, $9600.0
Regular, 70000, $81900.0
Midgrade, 34, $40.8
Midgrade, 2, $2.4
Regular, 6789, $7943.129999999999
Regular, 32, $37.44
Midgrade, 8000, $9600.0
Premium, 88, $220.0
Midgrade, 33, $39.6
Midgrade, 89909, $107890.8
Midgrade, 34, $40.8
Premium, 33, $82.5
Midgrade, 55, $66.0
Midgrade, 8000, $9600.0
Midgrade, 76000, $91200.0
Midgrade, 33, $39.6
Midgrade, 34, $40.8
Regular, 15, $17.549999999999997
Midgrade,  22, $26.4
Midgrade, 23, $27.599999999999998
Midgrade, 333, $399.59999999999997
Midgrade, 33, $39.6
